index,key,term_type,Key [],Description [],English [en],Russian [ru],Chinese (Simplified) [zh-CN],French [fr],German [de],Spanish [es],Brazil [pt-BR],Chinese (Traditional) [zh-TW],Korean [ko],Polish [pl],Japanese [ja]
0,UI/ButtonContinue,0,UI/ButtonContinue,,Continue,Продолжить,继续,Continuer,Weiter,Continuar,Continuar,繼續,이어하기,Kontynuuj,続ける
1,UI/ButtonNo,0,UI/ButtonNo,,No,Нет,取消,Non,Nein,No,Não,取消,취소,Nie,いいえ
2,UI/ButtonOk,0,UI/ButtonOk,,OK,Понятно,确定,OK,OK,Vale,OK,確定,확인,OK,OK
3,UI/ButtonOkay,0,UI/ButtonOkay,,OK,ОК,确定,OK,OK,Vale,OK,確定,확인,OK,OK
4,UI/ButtonQuit,0,UI/ButtonQuit,,Quit,Выход,退出,Quitter,Beenden,Salir,Sair,退出,종료,Wyjdź,終了する
5,UI/ButtonYes,0,UI/ButtonYes,,Yes,Да,确定,Oui,Ja,Sí,Sim,是,예,Tak,はい
6,UI/BuyButton,0,UI/BuyButton,,Buy,Купить,购买,Acheter,Kaufen,Comprar,Comprar,購買,구매,Kup,購入する
7,UI/ButtonBinding,0,UI/ButtonBinding,,Controls,Управление,控制设置,Commandes,Steuerung,Controles,Controles,控制,컨트롤,Sterowanie,操作
8,UI/ConfirmQuitText,0,UI/ConfirmQuitText,,Are you sure you want to quit?,"Вы уверены, что хотите выйти?",你确定要退出吗？,Êtes-vous sûr(e) de vouloir quitter ?,"Bist du sicher, dass du aufhören willst?",¿Seguro que quieres salir?,Você tem certeza de que deseja sair?,是否確定要退出？,정말로 종료할까요?,Czy na pewno chcesz wyjść?,終了しますか？
9,UI/ExitButton,0,UI/ExitButton,,Quit,Выход,退出,Quitter,Beenden,Salir,Sair,退出,종료,Wyjdź,終了する
10,UI/HintSkip,0,UI/HintSkip,,Skip,Пропустить,跳过,Passer,Weiter,Siguiente,Pular,繼續,건너뛰기,Dalej,次へ
11,UI/HintSkipAll,0,UI/HintSkipAll,,Skip all,Пропустить все,全部跳过,Tout passer,Alle überspringen,Omitir todo,Pular tudo,略過全部,모두 건너뛰기,Pomiń wszystko,すべてスキップ
12,UI/PressAnyKey,0,UI/PressAnyKey,,Press any key,Нажмите любую клавишу,按任意键继续,Appuyez sur n’importe quelle touche,Drücke eine beliebige Taste,Pulsa cualquier tecla,Pressione qualquer tecla,按下任意鍵,아무 키나 누르세요,Naciśnij dowolny przycisk,いずれかのキーを押してください
13,UI/OptLangRussian,0,UI/OptLangRussian,,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский
14,UI/OptLangEng,0,UI/OptLangEng,,English,English,English,English,English,English,English,English,English,English,English
15,UI/OptLangChS,0,UI/OptLangChS,,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文
16,UI/OptLangFr,0,UI/OptLangFr,,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français
17,UI/OptLangGm,0,UI/OptLangGm,,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
18,UI/OptLangSp,0,UI/OptLangSp,,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español
19,UI/OptLangBr,0,UI/OptLangBr,,Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil)
20,UI/OptLangChT,0,UI/OptLangChT,,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文
21,UI/OptLangKr,0,UI/OptLangKr,,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어
22,UI/OptLangPl,0,UI/OptLangPl,,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski
23,UI/OptLangJp,0,UI/OptLangJp,,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
24,UI/OptSFX,0,UI/OptSFX,,Sound FX volume,Громкость звука,音效音量,Volume des effets spéciaux,Lautstärke der Soundeffekte,Efectos,Volume dos efeitos sonoros,音效音量,,Głośność dźwięków,効果音の音量
25,UI/OptMus,0,UI/OptMus,,Music volume,Громкость музыки,音乐音量,Volume de la musique,Musiklautstärke,Música,Volume da música,音樂音量,,Głośność muzyki,音楽の音量
26,UI/OptRes,0,UI/OptRes,,Resolution,Разрешение,分辨率,Résolution,Auflösung,Resolución,Resolução,解析度,,Rozdzielczość,解像度
27,UI/OptWind,0,UI/OptWind,,Window mode,Оконный режим,窗口模式,Mode fenêtre,Fenstermodus,Pantalla,Modo de Janela,視窗模式,,Tryb okienkowy,ウィンドウモード
