index,key,category,term_type,description,english,placeholders,rich_text_tags
0,UI/ButtonContinue,UI,0,,Continue,,
1,UI/ButtonNo,UI,0,,No,,
2,UI/ButtonOk,UI,0,,OK,,
3,UI/ButtonOkay,UI,0,,OK,,
4,UI/ButtonQuit,UI,0,,Quit,,
5,UI/ButtonYes,UI,0,,Yes,,
6,UI/BuyButton,UI,0,,Buy,,
7,UI/ButtonBinding,UI,0,,Controls,,
8,UI/ConfirmQuitText,UI,0,,Are you sure you want to quit?,,
9,UI/ExitButton,UI,0,,Quit,,
10,UI/HintSkip,UI,0,,Skip,,
11,UI/HintSkipAll,UI,0,,Skip all,,
12,UI/PressAnyKey,UI,0,,Press any key,,
13,UI/OptLangRussian,UI,0,,Русский,,
14,UI/OptLangEng,UI,0,,English,,
15,UI/OptLangChS,UI,0,,简体中文,,
16,UI/OptLangFr,UI,0,,Français,,
17,UI/OptLangGm,UI,0,,Deutsch,,
18,UI/OptLangSp,UI,0,,Español,,
19,UI/OptLangBr,UI,0,,Português (Brasil),,
20,UI/OptLangChT,UI,0,,繁體中文,,
21,UI/OptLangKr,UI,0,,한국어,,
22,UI/OptLangPl,UI,0,,Polski,,
23,UI/OptLangJp,UI,0,,日本語,,
24,UI/OptSFX,UI,0,,Sound FX volume,,
25,UI/OptMus,UI,0,,Music volume,,
26,UI/OptRes,UI,0,,Resolution,,
27,UI/OptWind,UI,0,,Window mode,,
28,UI/OptWindW,UI,0,,Windowed,,
29,UI/OptWindB,UI,0,,Borderless,,
30,UI/OptWindF,UI,0,,Fullscreen,,
31,UI/OptSD,UI,0,,Steam Deck,,
32,UI/OptApply,UI,0,,Apply,,
33,UI/OptBack,UI,0,,Back,,
34,UI/OptChange,UI,0,,Apply changes?,,
35,UI/OptTimer,UI,0,,The settings will be applied in {0},{0},
36,UI/OptPTSurvey,UI,0,,Take the survey,,
37,UI/OptWish,UI,0,,Wishlist,,
38,UI/OptDayReset,UI,0,,Start the day over,,
39,UI/OptDayBackward,UI,0,,Load previous day,,
40,UI/OptMM,UI,0,,Back to Main Menu,,
41,UI/OptQG,UI,0,,Quit Game,,
42,UI/OptResetApply,UI,0,,"Current progress will be lost. 
Are you sure?",,
43,UI/OptDayN,UI,0,,Day {0},{0},
44,UI/,UI,0,,#N/A,,
45,UI/OptPause,UI,0,,Pause,,
46,UI/OptOpt,UI,0,,Settings,,
47,UI/OptLang,UI,0,,Language,,
48,Dialogue/Conversation/1/Entry/1/Dialogue Text,Dialogue,0,,Show me your pass.,,
49,Dialogue/Conversation/1/Entry/2/Dialogue Text,Dialogue,0,,"Yes, of course!",,
50,Dialogue/Conversation/10/Entry/1/Dialogue Text,Dialogue,0,,"All right, come through.",,
51,Dialogue/Conversation/10/Entry/2/Dialogue Text,Dialogue,0,,That's more like it.,,
52,Dialogue/Conversation/11/Entry/1/Dialogue Text,Dialogue,0,,"Turn around, you may not pass.",,
53,Dialogue/Conversation/11/Entry/2/Dialogue Text,Dialogue,0,,I demand an explanation!!!,,
54,Dialogue/Conversation/12/Entry/1/Dialogue Text,Dialogue,0,,Is something wrong?,,
55,Dialogue/Conversation/12/Entry/2/Dialogue Text,Dialogue,0,,"Shoot 'em, sir!",,
56,Dialogue/Conversation/13/Entry/1/Dialogue Text,Dialogue,0,,"So you noticed. Okay, I'll just leave...",,
57,Dialogue/Conversation/14/Entry/1/Dialogue Text,Dialogue,0,,You shouldn't have done that.,,
58,Dialogue/Conversation/16/Entry/1/Dialogue Text,Dialogue,0,,"You know, I'm feeling a bit off... must be the weather. Or... ooooh.",,
59,Dialogue/Conversation/17/Entry/1/Dialogue Text,Dialogue,0,,Can't let that one through...,,
60,Dialogue/Conversation/18/Entry/1/Dialogue Text,Dialogue,0,,I must let this one through no matter what.,,
61,Dialogue/Conversation/2/Entry/1/Dialogue Text,Dialogue,0,,I don't like this. Where is the panic button?,,
62,Dialogue/Conversation/21/Entry/1/Dialogue Text,Dialogue,0,,"Well, well, well... I hope I didn't miss anything.",,
63,Dialogue/Conversation/22/Entry/1/Dialogue Text,Dialogue,0,,"Ugh, I wish I could go stretch my legs for a bit...",,
64,Dialogue/Conversation/23/Entry/2/Dialogue Text,Dialogue,0,,Reserved for the security-guard line,,
65,Dialogue/Conversation/24/Entry/2/Dialogue Text,Dialogue,0,,An interesting monologue with the newspaper,,
66,Dialogue/Conversation/25/Entry/2/Dialogue Text,Dialogue,0,,Today is gonna be hot...,,
67,Dialogue/Conversation/3/Entry/1/Dialogue Text,Dialogue,0,,I already gave you my pass!,,
68,Dialogue/Conversation/4/Entry/1/Dialogue Text,Dialogue,0,,What the heck do you have there?,,
69,Dialogue/Conversation/4/Entry/2/Dialogue Text,Dialogue,0,,"I know, I was born like this.",,
70,Dialogue/Conversation/5/Entry/2/Dialogue Text,Dialogue,0,,How did it even end up there?,,
71,Dialogue/Conversation/6/Entry/1/Dialogue Text,Dialogue,0,,Hmm... These are indeed the visitor's fingerprints.,,
72,Dialogue/Conversation/7/Entry/3/Dialogue Text,Dialogue,0,,"Right, these fingerprints belong to someone else.",,
73,Dialogue/Conversation/8/Entry/1/Dialogue Text,Dialogue,0,,Boo!,,
74,Dialogue/Conversation/9/Entry/1/Dialogue Text,Dialogue,0,,Afternoon!,,
75,Dialogue/Conversation/26/Entry/1/Dialogue Text,Dialogue,0,,May I see your pass?,,
76,Dialogue/Conversation/26/Entry/2/Dialogue Text,Dialogue,0,,Just a moment!,,
77,Dialogue/Conversation/27/Entry/1/Dialogue Text,Dialogue,0,,"Your pass, please.",,
78,Dialogue/Conversation/27/Entry/2/Dialogue Text,Dialogue,0,,"Ah, yeah, here you go.",,
79,Dialogue/Conversation/28/Entry/1/Dialogue Text,Dialogue,0,,Pass?,,
80,Dialogue/Conversation/28/Entry/2/Dialogue Text,Dialogue,0,,Here you go.,,
81,Dialogue/Conversation/29/Entry/1/Dialogue Text,Dialogue,0,,Do you have a pass? Do you want me to search you?,,
82,Dialogue/Conversation/29/Entry/2/Dialogue Text,Dialogue,0,,"No need, I'll show it!",,
83,Dialogue/Conversation/30/Entry/1/Dialogue Text,Dialogue,0,,Your paper justification?,,
84,Dialogue/Conversation/30/Entry/2/Dialogue Text,Dialogue,0,,"Huh? Oh, here!",,
85,Dialogue/Conversation/31/Entry/1/Dialogue Text,Dialogue,0,,You know how things work around here.,,
86,Dialogue/Conversation/31/Entry/2/Dialogue Text,Dialogue,0,,"Yes, here's my pass!",,
87,Dialogue/Conversation/32/Entry/1/Dialogue Text,Dialogue,0,,Do you have a pass on you?,,
88,Dialogue/Conversation/32/Entry/2/Dialogue Text,Dialogue,0,,"Yes, here.",,
89,Dialogue/Conversation/33/Entry/1/Dialogue Text,Dialogue,0,,This is getting dangerous…,,
90,Dialogue/Conversation/34/Entry/1/Dialogue Text,Dialogue,0,,"Oh, that's unfortunate...",,
91,Dialogue/Conversation/35/Entry/2/Dialogue Text,Dialogue,0,,This must have always been there.,,
92,Dialogue/Conversation/36/Entry/2/Dialogue Text,Dialogue,0,,"Personally, I know nothing about it.",,
93,Dialogue/Conversation/37/Entry/2/Dialogue Text,Dialogue,0,,Never seen it before.,,
94,Dialogue/Conversation/38/Entry/1/Dialogue Text,Dialogue,0,,Hi! Just don't drag it out.,,
95,Dialogue/Conversation/39/Entry/1/Dialogue Text,Dialogue,0,,I'm so fed up with all this...,,
96,Dialogue/Conversation/40/Entry/1/Dialogue Text,Dialogue,0,,"Come on, make it quick, I'm in a hurry.",,
97,Dialogue/Conversation/41/Entry/1/Dialogue Text,Dialogue,0,,"Show this, take off that... For crying out loud! It's like we're working at a secret facility... Oh, right, we are...",,
98,Dialogue/Conversation/42/Entry/1/Dialogue Text,Dialogue,0,,I can't wait to go home...,,
99,Dialogue/Conversation/43/Entry/1/Dialogue Text,Dialogue,0,,Hello!,,
100,Dialogue/Conversation/44/Entry/1/Dialogue Text,Dialogue,0,,Still here?,,
101,Dialogue/Conversation/45/Entry/1/Dialogue Text,Dialogue,0,,Greetings!,,
102,Dialogue/Conversation/46/Entry/1/Dialogue Text,Dialogue,0,,Greetings!,,
103,Dialogue/Conversation/47/Entry/1/Dialogue Text,Dialogue,0,,Hi there!,,
104,Dialogue/Conversation/48/Entry/1/Dialogue Text,Dialogue,0,,Hi there!,,
105,Dialogue/Conversation/49/Entry/1/Dialogue Text,Dialogue,0,,"Come on, start up your checker.",,
106,Dialogue/Conversation/50/Entry/1/Dialogue Text,Dialogue,0,,Yo!,,
107,Dialogue/Conversation/51/Entry/1/Dialogue Text,Dialogue,0,,"Come through, don't dawdle.",,
108,Dialogue/Conversation/51/Entry/2/Dialogue Text,Dialogue,0,,"But you were the one who... ah, never mind!",,
109,Dialogue/Conversation/52/Entry/1/Dialogue Text,Dialogue,0,,Good.,,
110,Dialogue/Conversation/52/Entry/2/Dialogue Text,Dialogue,0,,Yep...,,
111,Dialogue/Conversation/53/Entry/1/Dialogue Text,Dialogue,0,,You can go.,,
112,Dialogue/Conversation/53/Entry/2/Dialogue Text,Dialogue,0,,Wonderful.,,
113,Dialogue/Conversation/54/Entry/1/Dialogue Text,Dialogue,0,,Everything is in order.,,
114,Dialogue/Conversation/54/Entry/2/Dialogue Text,Dialogue,0,,Of course! You've just wasted my time.,,
115,Dialogue/Conversation/55/Entry/1/Dialogue Text,Dialogue,0,,"Wait, what's that? Just kidding, go ahead...",,
116,Dialogue/Conversation/55/Entry/2/Dialogue Text,Dialogue,0,,Don't scare me like that!,,
117,Dialogue/Conversation/56/Entry/1/Dialogue Text,Dialogue,0,,Everything is in order. Next!,,
118,Dialogue/Conversation/56/Entry/2/Dialogue Text,Dialogue,0,,Phew...,,
119,Dialogue/Conversation/57/Entry/1/Dialogue Text,Dialogue,0,,You. Shall. Not. Pass! Go away.,,
120,Dialogue/Conversation/57/Entry/2/Dialogue Text,Dialogue,0,,Could you be less dramatic?,,
121,Dialogue/Conversation/58/Entry/1/Dialogue Text,Dialogue,0,,Not today.,,
122,Dialogue/Conversation/58/Entry/2/Dialogue Text,Dialogue,0,,Why?!,,
123,Dialogue/Conversation/59/Entry/1/Dialogue Text,Dialogue,0,,I won't let you through.,,
124,Dialogue/Conversation/59/Entry/2/Dialogue Text,Dialogue,0,,Oh...,,
125,Dialogue/Conversation/60/Entry/1/Dialogue Text,Dialogue,0,,Bye-bye!,,
126,Dialogue/Conversation/60/Entry/2/Dialogue Text,Dialogue,0,,I'm filing a complaint!,,
127,Dialogue/Conversation/61/Entry/1/Dialogue Text,Dialogue,0,,Denied.,,
128,Dialogue/Conversation/62/Entry/1/Dialogue Text,Dialogue,0,,Why are you looking at me like that?,,
129,Dialogue/Conversation/62/Entry/2/Dialogue Text,Dialogue,0,,Because it's the last time.,,
130,Dialogue/Conversation/63/Entry/1/Dialogue Text,Dialogue,0,,What did you press?,,
131,Dialogue/Conversation/63/Entry/2/Dialogue Text,Dialogue,0,,Doesn't matter...,,
