key,description,source_language,source_text
CityOperations/SDHeal_AlienTech,,ru,Лечение таинственной болезни инопланетными технологиями
CityOperations/SDHeal_LasPlagas,,ru,Лечение таинственной болезни особым паразитом
CityOperations/SDHeal_Fungoid,,ru,Лечение таинственной болезни грибами
IsolatorExperiments/RubberDuck_Name,,ru,Резиновая уточка
IsolatorExperiments/RubberDuck_Descr,,ru,Поместить в камеру специальный экспериментальный образец «Уточка резиновая». Научная ценность объекта уточняется. Не сжимать без необходимости.
NewsAndReports/,,ru,#N/A
Rorschach/qwe123,,ru,#N/A
Real_Dev/500,,ru,#N/A
Real_Dev/501,,ru,#N/A
Real_Dev/502,,ru,#N/A
Real_Dev/503,,ru,#N/A
Real_Dev/504,,ru,#N/A
Real_Dev/505,,ru,#N/A
Real_Dev/506,,ru,#N/A
Real_Dev/507,,ru,#N/A
Real_Dev/508,,ru,#N/A
Real_Dev/509,,ru,#N/A
Real_Dev/510,,ru,#N/A
Real_Dev/511,,ru,#N/A
Real_Dev/512,,ru,#N/A
Real_Dev/513,,ru,#N/A
Real_Dev/514,,ru,#N/A
Real_Dev/515,,ru,#N/A
Real_Dev/516,,ru,#N/A
Real_Dev/517,,ru,#N/A
Real_Dev/518,,ru,#N/A
Real_Dev/519,,ru,#N/A
Real_Dev/520,,ru,#N/A
Real_Dev/521,,ru,#N/A
Real_Dev/522,,ru,#N/A
Real_Dev/523,,ru,#N/A
Real_Dev/524,,ru,#N/A
Real_Dev/525,,ru,#N/A
Real_Dev/526,,ru,#N/A
Real_Dev/527,,ru,#N/A
Real_Dev/528,,ru,#N/A
Real_Dev/529,,ru,#N/A
Real_Dev/530,,ru,#N/A
Real_Dev/531,,ru,#N/A
Real_Dev/532,,ru,#N/A
Real_Dev/533,,ru,#N/A
Real_Dev/534,,ru,#N/A
Real_Dev/535,,ru,#N/A
Real_Dev/536,,ru,#N/A
Real_Dev/537,,ru,#N/A
Real_Dev/538,,ru,#N/A
Real_Dev/539,,ru,#N/A
Real_Dev/540,,ru,#N/A
Real_Dev/541,,ru,#N/A
Real_Dev/542,,ru,#N/A
Real_Dev/543,,ru,#N/A
Real_Dev/544,,ru,#N/A
Real_Dev/545,,ru,#N/A
Real_Dev/546,,ru,#N/A
Real_Dev/547,,ru,#N/A
Real_Dev/548,,ru,#N/A
Real_Dev/549,,ru,#N/A
Real_Dev/550,,ru,#N/A
Real_Dev/551,,ru,#N/A
Real_Dev/552,,ru,#N/A
Real_Dev/553,,ru,#N/A
Real_Dev/554,,ru,#N/A
Real_Dev/555,,ru,#N/A
Real_Dev/556,,ru,#N/A
Real_Dev/557,,ru,#N/A
Real_Dev/558,,ru,#N/A
Real_Dev/559,,ru,#N/A
Real_Dev/560,,ru,#N/A
Real_Dev/561,,ru,#N/A
Real_Dev/562,,ru,#N/A
Real_Dev/563,,ru,#N/A
Real_Dev/564,,ru,#N/A
Real_Dev/565,,ru,#N/A
Real_Dev/566,,ru,#N/A
Real_Dev/567,,ru,#N/A
Real_Dev/568,,ru,#N/A
Real_Dev/569,,ru,#N/A
Real_Dev/570,,ru,#N/A
Real_Dev/571,,ru,#N/A
Real_Dev/572,,ru,#N/A
Real_Dev/573,,ru,#N/A
Real_Dev/574,,ru,#N/A
Real_Dev/575,,ru,#N/A
Real_Dev/576,,ru,#N/A
Real_Dev/577,,ru,#N/A
Real_Dev/578,,ru,#N/A
Real_Dev/579,,ru,#N/A
Real_Dev/580,,ru,#N/A
Real_Dev/581,,ru,#N/A
Real_Dev/582,,ru,#N/A
Real_Dev/583,,ru,#N/A
Real_Dev/584,,ru,#N/A
Real_Dev/585,,ru,#N/A
Real_Dev/586,,ru,#N/A
Real_Dev/587,,ru,#N/A
Real_Dev/588,,ru,#N/A
Real_Dev/589,,ru,#N/A
Real_Dev/590,,ru,#N/A
Real_Dev/591,,ru,#N/A
Real_Dev/592,,ru,#N/A
Real_Dev/593,,ru,#N/A
Real_Dev/594,,ru,#N/A
Real_Dev/595,,ru,#N/A
Real_Dev/596,,ru,#N/A
Real_Dev/597,,ru,#N/A
Real_Dev/598,,ru,#N/A
Real_Dev/599,,ru,#N/A
Real_Dev/600,,ru,#N/A
Real_Dev/601,,ru,#N/A
Real_Dev/602,,ru,#N/A
Real_Dev/603,,ru,#N/A
Real_Dev/604,,ru,#N/A
Real_Dev/605,,ru,#N/A
Real_Dev/606,,ru,#N/A
Real_Dev/607,,ru,#N/A
Real_Dev/608,,ru,#N/A
Real_Dev/609,,ru,#N/A
Real_Dev/610,,ru,#N/A
Real_Dev/611,,ru,#N/A
Real_Dev/612,,ru,#N/A
Real_Dev/613,,ru,#N/A
Real_Dev/614,,ru,#N/A
Real_Dev/615,,ru,#N/A
Real_Dev/616,,ru,#N/A
Real_Dev/617,,ru,#N/A
Real_Dev/618,,ru,#N/A
Real_Dev/619,,ru,#N/A
Real_Dev/620,,ru,#N/A
Real_Dev/621,,ru,#N/A
Real_Dev/622,,ru,#N/A
Real_Dev/623,,ru,#N/A
Real_Dev/624,,ru,#N/A
Real_Dev/625,,ru,#N/A
Real_Dev/626,,ru,#N/A
Real_Dev/627,,ru,#N/A
Real_Dev/628,,ru,#N/A
Real_Dev/629,,ru,#N/A
Real_Dev/630,,ru,#N/A
Real_Dev/631,,ru,#N/A
Real_Dev/632,,ru,#N/A
Real_Dev/633,,ru,#N/A
Real_Dev/634,,ru,#N/A
Real_Dev/635,,ru,#N/A
Real_Dev/636,,ru,#N/A
Real_Dev/637,,ru,#N/A
Real_Dev/638,,ru,#N/A
Real_Dev/639,,ru,#N/A
Real_Dev/640,,ru,#N/A
Real_Dev/641,,ru,#N/A
Real_Dev/642,,ru,#N/A
Real_Dev/643,,ru,#N/A
Real_Dev/644,,ru,#N/A
Real_Dev/645,,ru,#N/A
Real_Dev/646,,ru,#N/A
Real_Dev/647,,ru,#N/A
Real_Dev/648,,ru,#N/A
Real_Dev/649,,ru,#N/A
Real_Dev/650,,ru,#N/A
Real_Dev/651,,ru,#N/A
Real_Dev/652,,ru,#N/A
Real_Dev/653,,ru,#N/A
Real_Dev/654,,ru,#N/A
Real_Dev/655,,ru,#N/A
Real_Dev/656,,ru,#N/A
Real_Dev/657,,ru,#N/A
Real_Dev/658,,ru,#N/A
Real_Dev/659,,ru,#N/A
Real_Dev/660,,ru,#N/A
Real_Dev/661,,ru,#N/A
Real_Dev/662,,ru,#N/A
Real_Dev/663,,ru,#N/A
Real_Dev/664,,ru,#N/A
Real_Dev/665,,ru,#N/A
Real_Dev/666,,ru,#N/A
Real_Dev/667,,ru,#N/A
Real_Dev/668,,ru,#N/A
Real_Dev/669,,ru,#N/A
Real_Dev/670,,ru,#N/A
